club_id,club_name,league_id
504,Rosario Central,1
505,Rosenborg BK,32
506,Ross County FC,41
507,Rotherham United,14
508,Royal Antwerp FC,5
509,Royal Excel Mouscron,5
510,SC Braga,36
511,SC Freiburg,21
512,SC Heerenveen,25
513,SC Paderborn 07,22
514,SC Verl,23
515,SCR Altach,4
516,SD Aucas,13
517,SD Eibar,43
518,SD Huesca,43
519,SD Ponferradina,44
520,SG Dynamo Dresden,23
521,SK Brann,32
522,SK Rapid Wien,4
523,SK Slavia Praha,11
524,SK Sturm Graz,4
525,SKN St. Pölten,4
526,SL Benfica,36
527,SPAL,27
528,SSV Jahn Regensburg,22
529,SV Darmstadt 98,22
530,SV Meppen,23
531,SV Ried,4
532,SV Sandhausen,22
533,SV Waldhof Mannheim,23
534,SV Wehen Wiesbaden,23
535,SV Werder Bremen,21
536,SV Zulte-Waregem,5
537,Sagan Tosu,28
538,Salford City,16
539,Sampdoria,26
540,San Jose Earthquakes,49
541,San Lorenzo de Almagro,1
542,Sandefjord Fotball,32
543,Sanfrecce Hiroshima,28
544,Sangju Sangmu FC,29
545,Santa Clara,36
546,Santos,6
547,Santos Laguna,31
548,Sarpsborg 08 FF,32
549,Sassuolo,26
550,Scunthorpe United,16
551,Seattle Sounders FC,49
552,Seongnam FC,29
553,Sepsi OSK,38
554,Servette FC,46
555,Sevilla FC,43
556,Shakhtar Donetsk,50
557,Shamrock Rovers,37
558,Shandong Luneng TaiShan FC,8
559,Shanghai Greenland Shenhua FC,8
560,Shanghai SIPG FC,8
561,Sheffield United,17
562,Sheffield Wednesday,14
563,Shelbourne FC,37
564,Shenzhen FC,8
565,Shijiazhuang Ever Bright F.C.,8
566,Shimizu S-Pulse,28
567,Shonan Bellmare,28
568,Shrewsbury,15
569,Sint-Truidense VV,5
570,Sivasspor,47
571,Sligo Rovers,37
572,Sol de América,33
573,Southampton,17
574,Southend United,16
575,SpVgg Greuther Fürth,22
576,SpVgg Unterhaching,23
577,Sparta Praha,11
578,Sparta Rotterdam,25
579,Spartak Moscow,39
580,Spezia,26
581,Sport Huancayo,34
582,Sporting CP,36
583,Sporting Kansas City,49
584,Sporting de Charleroi,5
585,Sportivo Luqueño,33
586,St. Johnstone FC,41
587,St. Mirren,41
588,St. Patrick's Athletic,37
589,Stabæk Fotball,32
590,Stade Brestois 29,19
591,Stade Malherbe Caen,20
592,Stade Rennais FC,19
593,Stade de Reims,19
594,Stal Mielec,35
595,Standard de Liège,5
596,Stevenage,16
597,Stoke City,14
598,Strømsgodset IF,32
599,Sunderland,15
600,Suwon Samsung Bluewings,29
601,Swansea City,14
602,Swindon Town,15
603,Sydney FC,3
604,São Paulo,6
605,SønderjyskE,12
606,TSG 1899 Hoffenheim,21
607,TSV 1860 München,23
608,TSV Hartberg,4
609,Tianjin TEDA FC,8
610,Tigres U.A.N.L.,31
611,Torino,26
612,Toronto FC,49
613,Tottenham Hotspur,17
614,Toulouse Football Club,20
615,Trabzonspor,47
616,Tranmere Rovers,16
617,Türkgücü München,23
618,U.N.A.M.,31
619,UD Almería,44
620,UD Las Palmas,44
621,UD Logroñés,44
622,USL Dunkerque,20
623,UTA Arad,38
624,Udinese,26
625,Ulsan Hyundai FC,29
626,Universidad Católica,7
627,Universidad Católica del Ecuador,13
628,Universitatea Craiova,38
629,Unión La Calera,7
630,Unión de Santa Fe,1
631,Urawa Red Diamonds,28
632,VVV-Venlo,25
633,Valencia CF,43
634,Valenciennes FC,20
635,Vancouver Whitecaps FC,49
636,Varbergs BoIS,45
637,Vasco da Gama,6
638,Vegalta Sendai,28
639,Vejle Boldklub,12
640,VfB Lübeck,23
641,VfB Stuttgart,21
642,VfL Bochum 1848,22
643,VfL Osnabrück,22
644,VfL Wolfsburg,21
645,Viking FK,32
646,Viktoria Köln,23
647,Viktoria Plzeň,11
648,Villarreal CF,43
649,Vissel Kobe,28
650,Vitesse,25
651,Vitória Guimarães,36
652,Vålerenga Fotball,32
653,Vélez Sarsfield,1
654,WSG Tirol,4
655,Waasland-Beveren,5
656,Walsall,16
657,Warta Poznań,35
658,Waterford FC,37
659,Watford,14
660,Wellington Phoenix,3
661,West Bromwich Albion,17
662,West Ham United,17
663,Western Sydney Wanderers,3
664,Western United FC,3
665,Wigan Athletic,15
666,Willem II,25
667,Wisła Kraków,35
668,Wisła Płock,35
669,Wolfsberger AC,4
670,Wolverhampton Wanderers,17
671,Wuhan Zall,8
672,Wycombe Wanderers,14
673,Yeni Malatyaspor,47
674,Yokohama F. Marinos,28
675,Yokohama FC,28
676,Zagłębie Lubin,35
677,Zamora FC,52
678,Çaykur Rizespor,47
679,Örebro SK,45
680,Östersunds FK,45
681,Śląsk Wrocław,35
